,LTeamID,WTeamID,date,home,homeID,hscore,line,lineavg,linedok,linedonc,lineespn,linefox,linemassey,linemoore,lineopen,linepugh,linesag,linesage,linesaggm,linesagp,WMargin,neutral,road,roadID,rscore,std,favwins,homewins,favoriteID,underdogID,WinATS,LoseATS,Season,DayNum,WScore,LScore,WSeasonElo,LSeasonElo,SeasonEloDiff,PredMargin,PredBetWATS,PredBetLATS,PredBet,PredBetWATSProfit,PredBetLATSProfit,PredBetProfit
0,1448,1243,2017-03-14,Wake Forest,1448,88.0,-1.5,0.09,-2.56,-0.4,1.65,2.0,-2.13,0.14,0.0,0.23,-0.28,-0.05,-0.33,-0.24,-7,1.0,Kansas St.,1243.0,95.0,1.68,0,0,1243.0,1448.0,-1,1,2017,134,95,88,1817.590048,1628.452293,-189.13775499999997,-5,1,-1,1,1,-1,1
1,1309,1291,2017-03-14,New Orleans,1309,66.0,0.0,0.95,3.06,3.5,-1.23,3.0,3.15,-3.44,1.5,1.92,0.61,1.57,1.05,0.34,-1,1.0,Mount St. Marys,1291.0,67.0,1.86,0,0,1291.0,1309.0,-1,1,2017,134,67,66,1284.9646599999999,1283.53484,-1.429819999999836,0,1,-1,1,2,-2,2
2,1300,1413,2017-03-15,UC Davis,1413,67.0,-3.0,-2.33,2.31,-1.8,-5.51,-3.0,-1.58,-0.27,-3.5,-3.34,-1.63,-1.01,-0.97,-2.03,4,1.0,NC Central,1300.0,63.0,2.34,0,1,1300.0,1413.0,1,-1,2017,135,67,63,1386.152741,1389.581706,-3.4289649999998346,0,-1,1,1,1,-1,3
3,1344,1425,2017-03-15,Providence,1344,71.0,-2.5,0.44,-3.15,-1.4,2.21,2.0,0.06,1.01,0.0,-0.17,-0.26,-0.57,-0.62,-0.05,-4,1.0,USC,1425.0,75.0,1.73,0,0,1425.0,1344.0,-1,1,2017,135,75,71,1895.976116,1901.9247129999999,5.948596999999836,0,1,-1,1,2,-2,4
4,1315,1112,2017-03-16,Arizona,1112,100.0,17.5,16.59,16.74,18.0,16.66,14.0,17.91,19.22,16.5,19.79,17.91,18.8,18.66,17.54,18,1.0,North Dakota,1315.0,82.0,2.7,1,1,1112.0,1315.0,1,-1,2017,136,100,82,2021.0584059999999,1466.304543,554.7538629999999,16,-1,-1,-1,1,-3,3
5,1457,1139,2017-03-16,Butler,1139,76.0,11.0,11.06,12.95,9.5,11.06,6.0,8.49,16.45,11.5,15.3,13.14,12.56,12.84,13.33,12,1.0,Winthrop,1457.0,64.0,2.74,1,1,1139.0,1457.0,1,-1,2017,136,76,64,1992.591772,1555.655734,436.93603800000005,13,-1,1,1,0,-2,4
6,1190,1196,2017-03-16,Florida,1196,80.0,9.5,11.39,10.91,8.8,11.39,12.0,9.3,15.24,11.0,13.83,12.6,11.94,12.42,12.72,15,1.0,East Tennessee St.,1190.0,65.0,2.63,1,1,1196.0,1190.0,1,-1,2017,136,80,65,1914.3161910000001,1689.8715320000001,224.444659,6,-1,-1,-1,-1,-3,3
7,1195,1199,2017-03-16,Florida St.,1199,86.0,12.5,12.48,12.2,11.3,12.26,13.0,11.2,15.43,12.0,15.17,14.55,13.5,13.9,14.96,6,1.0,Florida Gulf Coast,1195.0,80.0,2.39,1,1,1199.0,1195.0,-1,1,2017,136,86,80,1856.140575,1575.18077,280.95980499999996,8,1,-1,1,0,-4,4
8,1355,1211,2017-03-16,Gonzaga,1211,66.0,22.5,23.39,25.1,18.5,23.39,23.0,26.51,26.1,22.5,26.45,24.17,23.88,23.92,24.32,20,1.0,South Dakota St.,1355.0,46.0,3.65,1,1,1211.0,1355.0,-1,1,2017,136,66,46,2084.516697,1627.19552,457.32117700000003,13,1,-1,1,1,-5,5
9,1305,1235,2017-03-16,Iowa St.,1235,84.0,6.5,6.44,5.9,6.6,7.83,6.0,6.52,8.87,6.5,7.03,7.85,7.09,7.45,8.08,11,1.0,Nevada,1305.0,73.0,2.0,1,1,1235.0,1305.0,1,-1,2017,136,84,73,1908.1724960000001,1715.559271,192.61322500000006,5,-1,-1,-1,0,-6,4
10,1278,1292,2017-03-16,Minnesota,1278,72.0,-1.5,2.13,1.0,3.9,1.11,1.0,2.07,4.87,1.5,4.53,3.18,3.28,3.26,3.14,-9,1.0,Middle Tenn St.,1292.0,81.0,1.95,0,0,1292.0,1278.0,-1,1,2017,136,81,72,1779.530801,1595.310076,-184.22072500000013,-5,1,-1,1,1,-7,5
11,1435,1321,2017-03-16,Northwestern,1321,68.0,-2.0,-0.56,1.28,0.5,-0.76,-5.0,-1.11,-1.23,-1.5,-0.37,0.32,1.19,0.94,-0.06,2,1.0,Vanderbilt,1435.0,66.0,2.22,0,1,1435.0,1321.0,1,-1,2017,136,68,66,1791.1684480000001,1726.8259739999999,64.34247400000027,1,-1,1,1,0,-6,6
12,1343,1323,2017-03-16,Notre Dame,1323,60.0,6.0,6.79,4.8,7.7,6.79,5.0,8.07,9.47,7.0,9.83,8.53,8.91,8.83,8.36,2,1.0,Princeton,1343.0,58.0,2.14,1,1,1323.0,1343.0,-1,1,2017,136,60,58,1925.835184,1750.201732,175.63345200000003,5,1,-1,1,1,-7,7
13,1436,1345,2017-03-16,Purdue,1345,80.0,9.0,8.87,8.38,7.8,10.22,7.0,7.8,11.4,9.0,12.65,11.44,9.86,10.65,11.92,10,1.0,Vermont,1436.0,70.0,2.51,1,1,1345.0,1436.0,1,-1,2017,136,80,70,1991.0120140000001,1671.897278,319.1147360000002,9,-1,1,1,0,-6,8
14,1433,1388,2017-03-16,St. Mary's,1388,85.0,4.0,5.57,4.88,4.4,8.59,8.0,5.58,4.04,4.5,5.11,5.01,4.56,4.65,5.23,8,1.0,VA Commonwealth,1433.0,77.0,1.52,1,1,1388.0,1433.0,1,-1,2017,136,85,77,1846.0245690000002,1735.1797530000001,110.84481600000004,3,-1,-1,-1,-1,-7,7
15,1291,1437,2017-03-16,Villanova,1437,76.0,25.5,24.75,25.46,19.0,26.78,28.0,28.03,27.97,26.5,28.26,26.25,26.43,26.57,26.07,20,1.0,Mount St. Marys,1291.0,56.0,3.39,1,1,1437.0,1291.0,-1,1,2017,136,76,56,2181.639899,1284.9646599999999,896.6752389999999,27,-1,-1,-1,-2,-8,6
16,1423,1438,2017-03-16,Virginia,1438,76.0,8.0,8.84,7.4,6.7,8.84,8.0,7.66,13.6,9.0,12.19,11.28,8.98,10.05,12.08,5,1.0,NC Wilmington,1423.0,71.0,2.57,1,1,1438.0,1423.0,-1,1,2017,136,76,71,2199.490565,1838.1067480000002,361.3838169999999,10,-1,-1,-1,-3,-9,5
17,1137,1452,2017-03-16,West Virginia,1452,86.0,13.5,12.86,13.52,9.8,12.86,12.0,10.48,14.12,14.0,15.19,16.12,15.04,15.73,16.39,6,1.0,Bucknell,1137.0,80.0,3.07,1,1,1452.0,1137.0,-1,1,2017,136,86,80,2084.2694239999996,1565.298399,518.9710249999996,15,-1,-1,-1,-4,-10,4
18,1439,1458,2017-03-16,Wisconsin,1458,84.0,5.5,5.3,6.68,6.8,6.53,4.0,3.58,4.2,5.0,4.39,6.07,4.56,5.39,6.46,10,1.0,Virginia Tech,1439.0,74.0,1.93,1,1,1458.0,1439.0,1,-1,2017,136,84,74,1894.368443,1893.3247920000001,1.0436509999999544,0,-1,-1,-1,-5,-11,3
19,1268,1462,2017-03-16,Maryland,1268,65.0,1.5,-0.15,-1.41,1.0,-1.65,0.01,0.83,-2.48,2.0,-0.83,-1.02,0.06,-0.43,-1.36,-11,1.0,Xavier,1462.0,76.0,1.53,0,0,1462.0,1268.0,-1,1,2017,136,76,65,2061.06369,1864.725762,-196.33792799999992,-5,1,-1,1,-4,-12,4
20,1371,1116,2017-03-17,Arkansas,1116,77.0,0.0,1.0,1.1,0.7,1.0,0.01,0.46,-0.61,1.5,1.72,1.01,0.78,0.88,1.09,6,1.0,Seton Hall,1371.0,71.0,1.26,1,1,1116.0,1371.0,1,-1,2017,137,77,71,1749.098801,1927.873145,-178.77434399999993,-5,-1,-1,-1,-5,-13,3
21,1308,1124,2017-03-17,Baylor,1124,91.0,11.5,11.66,8.65,10.3,11.66,13.0,8.99,20.78,12.0,13.79,13.06,13.11,13.08,13.06,18,1.0,New Mexico St.,1308.0,73.0,3.32,1,1,1124.0,1308.0,1,-1,2017,137,91,73,2085.014564,1667.155338,417.85922600000004,12,-1,1,1,-6,-12,4
22,1243,1153,2017-03-17,Cincinnati,1153,75.0,4.0,4.23,3.01,4.3,5.02,2.0,0.72,2.58,3.5,3.42,4.11,4.19,4.28,4.0,14,1.0,Kansas St.,1243.0,61.0,2.71,1,1,1153.0,1243.0,1,-1,2017,137,75,61,1881.0736969999998,1817.590048,63.48364899999979,1,-1,-1,-1,-7,-13,3
23,1407,1181,2017-03-17,Duke,1181,87.0,20.0,17.53,18.76,18.5,20.53,14.0,15.37,24.0,19.0,18.99,20.23,19.83,20.49,20.08,22,1.0,Troy St.,1407.0,65.0,3.47,1,1,1181.0,1407.0,1,-1,2017,137,87,65,2011.3186870000002,1241.457607,769.8610800000001,23,-1,1,1,-8,-12,4
24,1413,1242,2017-03-17,Kansas,1242,100.0,23.0,22.3,22.09,18.5,27.24,21.0,21.78,27.21,22.5,25.17,22.83,22.91,23.04,22.78,38,1.0,UC Davis,1413.0,62.0,3.23,1,1,1242.0,1413.0,1,-1,2017,137,100,62,2199.981075,1386.152741,813.828334,24,-1,1,1,-9,-11,5
25,1297,1246,2017-03-17,Kentucky,1246,79.0,20.0,19.42,21.83,18.0,24.12,19.0,19.69,25.62,19.5,23.32,20.8,19.94,20.55,20.96,9,1.0,Northern Kentucky,1297.0,70.0,3.65,1,1,1246.0,1297.0,-1,1,2017,137,79,70,2111.435027,1525.973774,585.4612529999999,17,1,-1,1,-8,-12,6
26,1240,1257,2017-03-17,Louisville,1257,78.0,18.5,19.89,20.1,16.5,22.49,20.0,15.6,28.98,19.5,24.34,21.93,20.21,21.28,22.37,15,1.0,Jacksonville St.,1240.0,63.0,3.96,1,1,1257.0,1240.0,-1,1,2017,137,78,63,2046.481938,1352.2833130000001,694.1986249999998,20,-1,-1,-1,-9,-13,5
27,1329,1276,2017-03-17,Michigan,1276,92.0,2.5,1.13,0.82,1.0,1.13,3.0,1.11,3.02,1.5,-0.29,0.18,0.32,0.25,0.13,1,1.0,Oklahoma St.,1329.0,91.0,1.51,1,1,1276.0,1329.0,-1,1,2017,137,92,91,1875.412738,1729.835609,145.577129,4,-1,-1,-1,-10,-14,4
28,1274,1277,2017-03-17,Miami-Florida,1274,58.0,1.5,1.35,3.33,1.5,1.68,0.01,0.14,0.7,1.0,1.82,1.42,1.66,1.39,1.45,-20,1.0,Michigan St.,1277.0,78.0,1.44,0,0,1277.0,1274.0,-1,1,2017,137,78,58,2013.872216,1902.729976,-111.1422399999999,-3,1,-1,1,-9,-15,5
29,1411,1314,2017-03-17,North Carolina,1314,103.0,26.5,23.26,24.5,18.0,27.9,24.0,24.62,27.82,24.5,28.01,24.84,23.26,23.96,25.41,39,1.0,Texas Southern,1411.0,64.0,4.01,1,1,1314.0,1411.0,1,-1,2017,137,103,64,2163.414847,1484.939293,678.4755540000001,20,-1,-1,-1,-10,-16,4
30,1233,1332,2017-03-17,Oregon,1332,93.0,15.5,15.19,16.77,15.6,15.19,17.0,14.27,13.56,14.5,18.29,16.46,16.74,16.67,16.34,16,1.0,Iona,1233.0,77.0,3.87,1,1,1332.0,1233.0,1,-1,2017,137,93,77,2033.813098,1603.042777,430.7703210000002,12,-1,-1,-1,-11,-17,3
31,1166,1348,2017-03-17,Creighton,1166,72.0,-2.0,3.05,1.83,3.8,3.14,1.0,2.01,0.38,2.0,3.91,4.32,4.47,4.58,4.17,-12,1.0,Rhode Island,1348.0,84.0,1.42,0,0,1348.0,1166.0,-1,1,2017,137,84,72,1721.7014510000001,1940.605148,218.90369699999997,6,-1,-1,-1,-12,-18,2
32,1266,1376,2017-03-17,South Carolina,1376,93.0,0.0,-0.77,1.71,-0.8,-1.53,0.01,-1.33,-3.12,1.0,0.18,-0.15,-0.12,0.04,-0.28,20,1.0,Marquette,1266.0,73.0,1.4,0,1,1266.0,1376.0,1,-1,2017,137,93,73,1913.537304,1786.332859,127.20444499999985,3,-1,1,1,-13,-17,3
33,1245,1417,2017-03-17,UCLA,1417,97.0,19.0,15.97,18.45,17.0,21.2,15.0,14.28,18.4,17.0,19.31,16.79,16.97,16.94,16.71,17,1.0,Kent St.,1245.0,80.0,3.58,1,1,1417.0,1245.0,1,-1,2017,137,97,80,1854.2031329999998,1480.035763,374.16736999999966,11,-1,-1,-1,-14,-18,2
34,1374,1425,2017-03-17,SMU,1374,65.0,7.5,7.58,4.84,5.1,10.95,10.0,7.89,9.09,6.5,7.85,7.06,6.38,6.46,7.41,-1,1.0,USC,1425.0,66.0,2.83,0,0,1425.0,1374.0,-1,1,2017,137,66,65,1895.976116,1846.443045,-49.533071000000064,-1,1,-1,1,-13,-19,3
35,1173,1455,2017-03-17,Dayton,1173,58.0,-7.0,-6.25,-5.9,-5.9,-6.65,-11.0,-8.15,-7.75,-6.5,-7.81,-7.08,-5.95,-6.28,-7.63,-6,1.0,Wichita St.,1455.0,64.0,3.03,0,0,1455.0,1173.0,1,-1,2017,137,64,58,1959.9959399999998,1830.335655,-129.6602849999997,-3,-1,1,1,-14,-18,4
36,1388,1112,2017-03-18,Arizona,1112,69.0,4.5,1.09,0.97,6.0,-2.81,-1.0,2.2,1.22,2.5,1.13,1.15,2.75,2.22,0.57,9,1.0,St. Mary's,1388.0,60.0,2.29,1,1,1112.0,1388.0,1,-1,2017,138,69,60,2021.0584059999999,1846.0245690000002,175.03383699999972,5,-1,1,1,-15,-17,5
37,1292,1139,2017-03-18,Butler,1139,74.0,2.5,4.69,4.0,5.8,4.77,1.0,1.87,6.88,4.5,6.84,5.68,5.09,5.47,5.81,9,1.0,Middle Tenn St.,1292.0,65.0,1.77,1,1,1139.0,1292.0,1,-1,2017,138,74,65,1992.591772,1779.530801,213.06097099999988,6,-1,1,1,-16,-16,6
38,1438,1196,2017-03-18,Florida,1196,65.0,2.0,1.26,-1.04,2.6,0.48,2.0,2.47,-0.25,1.5,1.5,0.03,0.64,0.3,-0.16,26,1.0,Virginia,1438.0,39.0,1.54,1,1,1196.0,1438.0,1,-1,2017,138,65,39,1914.3161910000001,2199.490565,-285.17437399999994,-8,-1,-1,-1,-17,-17,5
39,1321,1211,2017-03-18,Gonzaga,1211,79.0,10.5,12.19,13.3,8.7,14.39,16.0,13.1,9.23,10.5,10.97,11.02,10.51,10.63,11.26,6,1.0,Northwestern,1321.0,73.0,3.11,1,1,1211.0,1321.0,-1,1,2017,138,79,73,2084.516697,1791.1684480000001,293.3482489999999,8,1,-1,1,-16,-18,6
40,1235,1345,2017-03-18,Purdue,1345,80.0,0.0,1.32,2.91,2.2,3.03,1.0,-1.86,0.42,1.0,0.8,0.68,0.27,0.52,0.79,4,1.0,Iowa St.,1235.0,76.0,1.39,1,1,1345.0,1235.0,1,-1,2017,138,80,76,1991.0120140000001,1908.1724960000001,82.839518,2,-1,1,1,-17,-17,7
41,1323,1452,2017-03-18,West Virginia,1452,83.0,3.0,4.09,4.59,1.7,4.09,2.0,2.91,4.45,3.0,4.58,5.03,3.76,4.29,5.49,12,1.0,Notre Dame,1323.0,71.0,1.53,1,1,1452.0,1323.0,1,-1,2017,138,83,71,2084.2694239999996,1925.835184,158.4342399999996,4,-1,-1,-1,-18,-18,6
42,1437,1458,2017-03-18,Villanova,1437,62.0,5.5,6.0,4.34,2.7,6.0,6.0,6.0,5.09,5.0,6.34,4.62,5.89,5.21,4.27,-3,1.0,Wisconsin,1458.0,65.0,2.17,0,0,1458.0,1437.0,-1,1,2017,138,65,62,1894.368443,2181.639899,287.2714559999997,8,-1,-1,-1,-19,-19,5
43,1199,1462,2017-03-18,Florida St.,1199,66.0,7.5,5.04,5.99,6.6,6.1,7.0,3.28,2.32,5.5,3.56,4.0,3.88,3.64,4.23,-25,1.0,Xavier,1462.0,91.0,2.26,0,0,1462.0,1199.0,-1,1,2017,138,91,66,2061.06369,1856.140575,-204.92311500000005,-6,1,-1,1,-18,-20,6
44,1425,1124,2017-03-19,Baylor,1124,82.0,5.5,7.91,6.19,6.0,10.82,7.0,7.08,6.44,6.5,8.0,7.99,7.54,7.77,8.12,4,1.0,USC,1425.0,78.0,2.77,1,1,1124.0,1425.0,-1,1,2017,139,82,78,2085.014564,1895.976116,189.03844800000002,5,1,-1,1,-17,-21,7
45,1277,1242,2017-03-19,Kansas,1242,90.0,7.5,8.1,10.16,7.9,10.21,6.0,6.58,8.47,8.0,8.61,7.99,8.85,8.52,7.71,20,1.0,Michigan St.,1277.0,70.0,2.42,1,1,1242.0,1277.0,1,-1,2017,139,90,70,2199.981075,2013.872216,186.10885900000017,5,-1,-1,-1,-18,-22,6
46,1455,1246,2017-03-19,Kentucky,1246,65.0,3.5,2.6,2.5,6.0,2.6,-1.0,1.46,3.02,2.5,1.74,2.03,3.28,2.85,1.46,3,1.0,Wichita St.,1455.0,62.0,2.73,1,1,1246.0,1455.0,1,-1,2017,139,65,62,2111.435027,1959.9959399999998,151.4390870000002,4,-1,1,1,-19,-21,7
47,1257,1276,2017-03-19,Louisville,1257,69.0,3.0,3.36,3.59,2.8,3.36,1.0,-0.71,4.42,3.0,4.62,3.69,2.94,3.43,3.85,-4,1.0,Michigan,1276.0,73.0,1.55,0,0,1276.0,1257.0,-1,1,2017,139,73,69,1875.412738,2046.481938,171.0691999999999,5,-1,-1,-1,-20,-22,6
48,1116,1314,2017-03-19,North Carolina,1314,72.0,12.0,9.78,12.26,7.2,14.9,11.0,4.47,9.58,10.0,8.52,9.42,7.61,8.35,10.11,7,1.0,Arkansas,1116.0,65.0,2.41,1,1,1314.0,1116.0,-1,1,2017,139,72,65,2163.414847,1749.098801,414.3160459999999,12,-1,-1,-1,-21,-23,5
49,1348,1332,2017-03-19,Oregon,1332,75.0,5.0,6.68,5.94,7.9,8.08,6.0,3.84,1.99,4.5,7.0,6.7,6.85,6.92,6.57,3,1.0,Rhode Island,1348.0,72.0,2.26,1,1,1332.0,1348.0,-1,1,2017,139,75,72,2033.813098,1721.7014510000001,312.11164699999995,9,-1,-1,-1,-22,-24,4
50,1181,1376,2017-03-19,Duke,1181,81.0,6.5,7.02,6.55,9.1,10.13,7.0,5.35,7.45,7.0,4.35,6.39,6.94,6.91,6.08,-7,1.0,South Carolina,1376.0,88.0,2.02,0,0,1376.0,1181.0,-1,1,2017,139,88,81,1913.537304,2011.3186870000002,97.78138300000023,2,1,-1,1,-21,-25,5
51,1153,1417,2017-03-19,UCLA,1417,79.0,3.5,1.92,3.66,5.3,2.8,2.0,1.47,0.58,2.5,2.98,0.89,1.41,1.04,0.8,12,1.0,Cincinnati,1153.0,67.0,1.61,1,1,1417.0,1153.0,1,-1,2017,139,79,67,1854.2031329999998,1881.0736969999998,-26.87056400000006,0,-1,-1,-1,-22,-26,4
52,1452,1211,2017-03-23,Gonzaga,1211,61.0,2.5,3.81,3.18,4.8,3.67,6.0,4.63,-0.89,3.0,2.91,1.52,2.12,1.79,1.34,3,1.0,West Virginia,1452.0,58.0,3.02,1,1,1211.0,1452.0,-1,1,2017,143,61,58,2084.516697,2084.2694239999996,0.24727300000040486,0,1,-1,1,-21,-27,5
53,1345,1242,2017-03-23,Kansas,1242,98.0,5.0,2.53,3.17,3.0,1.72,3.0,2.94,3.86,4.0,2.45,2.24,3.52,3.1,1.76,32,1.0,Purdue,1345.0,66.0,1.99,1,1,1242.0,1345.0,1,-1,2017,143,98,66,2199.981075,1991.0120140000001,208.969061,6,-1,1,1,-22,-26,6
54,1276,1332,2017-03-23,Oregon,1332,69.0,-1.0,1.54,3.69,4.2,1.32,1.0,0.59,-1.33,0.0,2.07,1.88,2.06,2.13,1.73,1,1.0,Michigan,1276.0,68.0,2.2,1,1,1332.0,1276.0,-1,1,2017,143,69,68,2033.813098,1875.412738,158.4003600000001,4,-1,-1,-1,-23,-27,5
55,1112,1462,2017-03-23,Arizona,1112,71.0,7.5,5.2,6.34,9.5,5.65,5.0,7.68,0.32,7.5,4.09,3.91,5.64,4.8,3.46,-2,1.0,Xavier,1462.0,73.0,3.04,0,0,1462.0,1112.0,-1,1,2017,143,73,71,2061.06369,2021.0584059999999,-40.005284000000074,-1,1,-1,1,-22,-28,6
56,1458,1196,2017-03-24,Florida,1196,84.0,1.0,2.99,1.84,-0.2,4.02,4.0,3.37,3.67,1.5,4.86,2.51,2.5,2.27,2.67,1,1.0,Wisconsin,1458.0,83.0,2.09,1,1,1196.0,1458.0,-1,1,2017,144,84,83,1914.3161910000001,1894.368443,19.947748000000047,0,1,-1,1,-21,-29,7
57,1417,1246,2017-03-24,Kentucky,1246,86.0,-1.5,1.73,1.04,1.7,1.52,2.0,1.94,2.12,1.5,1.71,2.71,2.35,2.65,2.74,11,1.0,UCLA,1417.0,75.0,1.56,1,1,1246.0,1417.0,1,-1,2017,144,86,75,2111.435027,1854.2031329999998,257.23189400000024,7,-1,1,1,-22,-28,8
58,1139,1314,2017-03-24,North Carolina,1314,92.0,7.0,5.84,7.0,5.1,7.57,9.0,2.39,5.56,7.0,4.72,5.9,4.3,5.03,6.47,12,1.0,Butler,1139.0,80.0,2.58,1,1,1314.0,1139.0,1,-1,2017,144,92,80,2163.414847,1992.591772,170.82307500000002,5,-1,-1,-1,-23,-29,7
59,1124,1376,2017-03-24,Baylor,1124,50.0,3.0,4.77,4.61,5.9,5.35,3.0,4.72,3.4,3.0,3.28,4.38,5.4,5.15,3.95,-20,1.0,South Carolina,1376.0,70.0,2.04,0,0,1376.0,1124.0,-1,1,2017,144,70,50,1913.537304,2085.014564,171.47726000000011,5,-1,-1,-1,-24,-30,6
60,1462,1211,2017-03-25,Gonzaga,1211,83.0,8.5,9.87,9.68,9.6,13.23,11.0,10.02,5.94,8.5,9.52,9.25,9.34,9.08,9.34,24,1.0,Xavier,1462.0,59.0,4.6,1,1,1211.0,1462.0,1,-1,2017,145,83,59,2084.516697,2061.06369,23.45300700000007,0,-1,-1,-1,-25,-31,5
61,1242,1332,2017-03-25,Kansas,1242,60.0,6.5,3.16,2.69,0.6,2.56,4.0,3.96,8.51,6.0,3.32,3.25,3.86,3.74,3.01,-14,1.0,Oregon,1332.0,74.0,1.95,0,0,1332.0,1242.0,-1,1,2017,145,74,60,2033.813098,2199.981075,166.16797700000006,5,-1,-1,-1,-26,-32,4
62,1246,1314,2017-03-26,North Carolina,1314,75.0,2.0,1.03,2.31,-3.6,2.76,2.0,1.03,0.39,2.5,-0.66,0.51,-0.8,-0.26,1.0,2,1.0,Kentucky,1246.0,73.0,1.91,1,1,1314.0,1246.0,1,-1,2017,146,75,73,2163.414847,2111.435027,51.97982000000002,1,-1,-1,-1,-27,-33,3
63,1196,1376,2017-03-26,Florida,1196,70.0,3.0,6.75,5.04,6.8,9.1,5.0,6.75,5.73,4.5,5.49,5.59,5.25,5.48,5.67,-7,1.0,South Carolina,1376.0,77.0,2.09,0,0,1376.0,1196.0,-1,1,2017,146,77,70,1913.537304,1914.3161910000001,0.778887000000168,0,1,-1,1,-26,-34,4
64,1376,1211,2017-04-01,Gonzaga,1211,77.0,6.5,9.29,7.97,9.0,13.49,9.0,8.03,8.28,7.0,7.2,8.29,8.34,8.4,8.22,4,1.0,South Carolina,1376.0,73.0,4.04,1,1,1211.0,1376.0,-1,1,2017,152,77,73,2084.516697,1913.537304,170.97939300000007,5,1,-1,1,-25,-35,5
65,1332,1314,2017-04-01,North Carolina,1314,77.0,4.5,2.36,4.22,0.4,1.78,1.0,0.11,4.37,4.0,2.53,2.97,1.57,2.21,3.45,1,1.0,Oregon,1332.0,76.0,1.52,1,1,1314.0,1332.0,-1,1,2017,152,77,76,2163.414847,2033.813098,129.60174899999993,3,-1,-1,-1,-26,-36,4
66,1211,1314,2017-04-03,Gonzaga,1211,65.0,-1.0,2.26,-1.29,2.2,2.26,3.0,4.5,0.31,-2.0,2.15,1.36,2.32,1.81,1.07,-6,1.0,North Carolina,1314.0,71.0,2.28,0,0,1314.0,1211.0,-1,1,2017,154,71,65,2163.414847,2084.516697,-78.89814999999999,-2,1,-1,1,-25,-37,5
67,1254,1347,2018-03-13,Radford,1347,71.0,6.0,5.25,3.54,4.7,5.83,6.0,5.18,2.82,4.0,8.31,4.33,4.27,4.94,4.38,10,1.0,LIU Brooklyn,1254.0,61.0,1.51,1,1,1347.0,1254.0,1,-1,2018,134,71,61,1528.416407,1387.577895,140.83851200000004,4,-1,-1,-1,-26,-38,4
